,team,drives,Year,catchshootattempt,passes,potentialasst,pullupfgattempt,distance,speed,touches,elbowtouches,postups,painttouches
143,Phoenix Suns,41.5,2018,23.4,292.3,44.4,22.0,17.49,4.38,415.7,14.8,9.1,23.2
144,Portland Trail Blazers,36.4,2018,21.7,271.0,40.1,26.1,17.16,4.29,390.5,10.7,9.4,21.3
145,Sacramento Kings,36.5,2018,22.3,315.8,42.3,23.6,17.34,4.35,434.1,20.4,15.7,23.5
146,San Antonio Spurs,44.6,2018,25.0,314.0,42.7,22.6,17.70,4.43,432.2,14.0,19.4,23.9
147,Toronto Raptors,52.6,2018,28.0,300.0,46.3,18.4,17.64,4.40,421.4,10.8,5.6,22.4
148,Utah Jazz,52.9,2018,23.5,318.8,43.2,21.9,17.28,4.34,437.7,15.6,3.8,22.9
149,Washington Wizards,36.8,2018,26.2,293.0,47.4,22.4,17.06,4.26,412.5,15.8,8.2,23.2
150,Atlanta Hawks,53.3,2019,27.8,300.0,48.4,20.0,18.70,4.31,431.7,10.6,4.5,27.4
151,Boston Celtics,38.4,2019,29.8,296.4,47.6,25.5,17.92,4.18,419.4,12.0,10.1,22.5
152,Brooklyn Nets,53.1,2019,25.1,309.0,45.1,22.8,18.50,4.25,436.3,10.9,2.2,22.2
153,Charlotte Hornets,51.4,2019,24.5,290.0,42.3,25.7,18.33,4.27,412.2,9.4,3.7,20.1
154,Chicago Bulls,52.1,2019,21.8,284.4,39.0,22.0,18.60,4.32,406.0,12.1,10.7,18.8
155,Cleveland Cavaliers,45.4,2019,21.1,284.3,38.8,25.7,17.66,4.17,404.9,15.8,9.3,22.6
156,Dallas Mavericks,46.9,2019,27.2,313.6,44.2,23.2,17.95,4.16,437.5,13.0,8.9,23.2
157,Denver Nuggets,38.6,2019,26.4,312.4,47.2,21.4,17.97,4.20,436.3,14.6,15.7,25.9
158,Detroit Pistons,40.6,2019,25.9,307.1,43.8,21.5,18.01,4.20,431.0,9.9,13.1,24.4
159,Golden State Warriors,27.1,2019,29.9,320.2,52.6,26.8,17.77,4.20,444.8,14.2,17.4,23.2
160,Houston Rockets,44.5,2019,24.5,246.0,41.2,27.1,17.04,3.96,366.7,9.4,3.9,21.0
161,Indiana Pacers,39.5,2019,24.9,307.3,45.0,21.1,18.12,4.22,428.4,15.4,13.8,23.1
162,LA Clippers,47.0,2019,21.1,303.3,40.9,23.4,18.41,4.25,429.2,12.2,11.2,24.6
163,Los Angeles Lakers,40.8,2019,24.9,277.7,47.2,21.0,18.08,4.21,404.2,14.0,8.2,25.4
164,Memphis Grizzlies,41.0,2019,24.8,329.8,45.1,20.3,18.25,4.22,449.9,19.0,13.8,26.4
165,Miami Heat,49.3,2019,26.8,301.3,46.4,19.6,17.99,4.18,425.2,13.5,7.9,26.2
166,Milwaukee Bucks,48.5,2019,29.0,284.5,46.8,20.1,18.25,4.24,410.2,9.2,8.3,20.6
167,Minnesota Timberwolves,41.0,2019,26.1,290.4,44.4,22.0,17.94,4.15,417.3,11.9,19.7,23.1
